dataset,model,train_seed,placement_seed,shift,coverage,MAE,snaive7,common_mode,n_target,n_observed,realised_shift,model_score_policy,n_scored,n_all_valid,MAE_all_valid,previous_MAE,replay_MAE_difference,prediction_file,prediction_sha256
mta,spin_c,0,2,no shift,inside,555.04984587557124,1056.5591154997635,665.21950427652689,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,555.00190450714206,562.5531062913559,-7.551201784213843,results_mta/coverage_matched_predictions/spin_c_ts0_p2_no_shift_inside.npz,ed7d21d0c806292c3cb9ea557faf243d4130b60627968400542d49a11329fff8
mta,spin_c,0,2,no shift,outside,565.06127718104938,1056.5591154997635,670.7288228025842,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,565.0138591665791,580.51744170780375,-15.50358254122466,results_mta/coverage_matched_predictions/spin_c_ts0_p2_no_shift_outside.npz,8b97c209855eba98ab06c1ecebe9ac8a25e2619c51e2495a9f237b712ead2c71
mta,spin_c,0,3,no shift,inside,521.62944457584354,998.22085567118688,618.1920085298035,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,521.72425794588912,518.16557656947725,3.5586813764118688,results_mta/coverage_matched_predictions/spin_c_ts0_p3_no_shift_inside.npz,617f6f86042394a76cf3dc065fe6716fc4ae28598e0e1f53c2bcb86d8ffff7db
mta,spin_c,0,3,no shift,outside,521.9382070916115,998.22085567118688,617.71818118853855,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,522.0279953047019,523.86944444444441,-1.8414491397425079,results_mta/coverage_matched_predictions/spin_c_ts0_p3_no_shift_outside.npz,185566c1e6b31f293147f97bfceb216d815fb9d102ec9f00cb754f7df872965e
mta,spin_c,0,4,no shift,inside,508.76069575781457,974.10044654583646,610.53154901284825,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,508.73245305934881,514.17972689075634,-5.4472738314075855,results_mta/coverage_matched_predictions/spin_c_ts0_p4_no_shift_inside.npz,325b1e4b50a24ca8ad9c5c5aa94f5c5c5e20dab96b784dc371263e3f687577b8
mta,spin_c,0,4,no shift,outside,497.62007322038352,974.10044654583646,603.90173912763157,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,497.5439978335084,509.01565126050417,-11.471653426995829,results_mta/coverage_matched_predictions/spin_c_ts0_p4_no_shift_outside.npz,a51b98deab3266b0001446ff0c68a18de4dc153e9a572bc4b5aa779850e643a0
mta,spin_c,0,0,regional shift,inside,128.33998833464773,248.30599369085169,153.8801707664139,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,128.44674224661097,129.12504761717108,-0.67830537056011053,results_mta/coverage_matched_predictions/spin_c_ts0_p0_regional_shift_inside.npz,f35673dce321fdf12457d51abd0336f0eec582e61d6c8550675a88fc6075b061
mta,spin_c,0,0,regional shift,outside,131.30195148199263,248.30599369085169,155.82280772812058,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,131.43684772685478,133.22498456546867,-1.7881368386138945,results_mta/coverage_matched_predictions/spin_c_ts0_p0_regional_shift_outside.npz,1401439e6c6eb705acf0579226683a336e6809d2bdd388c0e7db54d9b957451a
mta,spin_c,0,1,regional shift,inside,120.38468042087143,236.51860611794388,159.65467919311348,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,120.52681121946416,122.03387509850276,-1.5070638790386113,results_mta/coverage_matched_predictions/spin_c_ts0_p1_regional_shift_inside.npz,4eb660d17d018ee65cba6e28b8a23881e6645bb31ba5c8c2787dd80510731192
mta,spin_c,0,1,regional shift,outside,120.55396808971932,236.51860611794388,160.21150760772235,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,120.69954073089046,123.96908490937746,-3.2695441784869961,results_mta/coverage_matched_predictions/spin_c_ts0_p1_regional_shift_outside.npz,04c1f61c1f1575a8d9d960e6c222b08a00753b8420a8dc493620a780903851b6
